person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3632,1,290.0,305.0,315.0,315.0,200.0,210.0,-215.0,210.0,315.0,335.0,350.0,210.0,875.0
3633,1,315.0,335.0,-355.0,335.0,200.0,210.0,217.5,217.5,300.0,325.0,335.0,217.5,887.5
3634,1,265.0,280.0,285.0,285.0,180.0,190.0,195.0,195.0,260.0,270.0,280.0,195.0,760.0
3635,1,225.0,-240.0,240.0,240.0,115.0,125.0,130.0,130.0,215.0,230.0,240.0,130.0,610.0
3636,1,170.0,185.0,200.0,200.0,110.0,-120.0,-120.0,110.0,200.0,220.0,232.5,110.0,542.5
3637,1,285.0,-305.0,305.0,305.0,165.0,172.5,177.5,177.5,290.0,-312.5,-320.0,177.5,772.5
3638,1,80.0,,,80.0,75.0,,,75.0,292.5,317.5,-325.0,75.0,472.5
3639,1,270.0,287.5,-300.0,287.5,150.0,-157.5,-157.5,150.0,250.0,265.0,-280.0,150.0,702.5
3640,1,-240.0,240.0,250.0,250.0,110.0,120.0,-127.5,120.0,270.0,287.5,-300.0,120.0,657.5
3641,1,285.0,295.0,300.0,300.0,155.0,-162.5,-162.5,155.0,270.0,-275.0,275.0,155.0,730.0
3642,1,210.0,222.5,230.0,230.0,130.0,137.5,145.0,145.0,215.0,227.5,-237.5,145.0,602.5
3643,1,260.0,280.0,290.0,290.0,160.0,175.0,-185.0,175.0,285.0,305.0,320.0,175.0,785.0
3644,1,180.0,205.0,225.0,225.0,120.0,132.5,137.5,137.5,220.0,237.5,-250.0,137.5,600.0
3645,1,190.0,212.5,-230.0,212.5,140.0,-147.5,147.5,147.5,200.0,220.0,240.0,147.5,600.0
3646,1,270.0,275.0,282.5,282.5,-175.0,175.0,-185.0,175.0,270.0,290.0,-310.0,175.0,747.5
3647,1,-175.0,175.0,190.0,190.0,115.0,127.5,-130.0,127.5,210.0,220.0,227.5,127.5,545.0
3648,1,240.0,255.0,-265.0,255.0,140.0,147.5,152.5,152.5,260.0,265.0,-272.5,152.5,672.5
3649,1,-220.0,220.0,-240.0,220.0,130.0,140.0,-147.5,140.0,220.0,240.0,252.5,140.0,612.5
3650,1,100.0,110.0,-112.5,110.0,-70.0,75.0,-77.5,75.0,135.0,150.0,,75.0,335.0
3651,1,290.0,,,290.0,160.0,,,160.0,325.0,,,160.0,
3652,1,-250.0,250.0,270.0,270.0,165.0,-172.5,,165.0,75.0,,,165.0,510.0
3653,1,300.0,315.0,-325.0,315.0,200.0,210.0,-217.5,210.0,250.0,265.0,-277.5,210.0,790.0
3654,1,140.0,-145.5,145.5,145.5,-82.5,82.5,-87.5,82.5,120.0,130.0,135.0,82.5,362.5
3656,1,170.0,192.5,,192.5,-110.0,115.0,120.0,120.0,165.0,187.5,,120.0,500.0
3657,1,135.0,-145.0,-145.0,135.0,80.0,85.0,90.0,90.0,135.0,145.0,-155.0,90.0,370.0
3658,1,340.0,360.0,375.0,375.0,215.0,-227.5,227.5,227.5,320.0,-340.0,-360.0,227.5,922.5
3659,1,-330.0,340.0,-365.0,340.0,220.0,-240.0,-252.5,220.0,280.0,300.0,-322.5,220.0,860.0
3666,1,,,,,230.0,245.0,255.0,255.0,,,,255.0,255.0
3668,1,,,,,55.0,65.0,-70.0,65.0,,,,65.0,65.0
3669,1,,,,,60.0,,,60.0,,,,60.0,60.0
3670,1,,,,,225.0,235.0,-242.5,235.0,,,,235.0,235.0
3671,1,,,,,165.0,175.0,-182.5,175.0,,,,175.0,175.0
3672,1,,,,,135.0,142.5,-150.0,142.5,,,,142.5,142.5
3673,1,,,,,65.0,67.5,-71.0,67.5,,,,67.5,67.5
1,4,,,,,210.0,215.5,,215.5,,,,215.5,215.5
3522,4,,,,,67.5,77.5,-82.5,77.5,,,,77.5,77.5
3526,4,140.0,155.0,165.0,165.0,82.5,87.5,92.5,92.5,160.0,172.5,182.5,92.5,440.0
3536,4,,,,,105.0,112.5,117.5,117.5,,,,117.5,117.5
3540,4,130.0,145.0,160.0,160.0,70.0,75.0,-80.0,75.0,145.0,160.0,175.0,75.0,410.0
3583,4,-180.0,180.0,,180.0,142.5,147.5,-150.0,147.5,220.0,-240.0,-253.0,147.5,547.5
3614,4,300.0,315.0,330.0,330.0,180.0,190.0,195.0,195.0,300.0,315.0,,195.0,840.0
3671,4,,,,,145.0,-152.5,-160.0,145.0,,,,145.0,145.0
3766,4,225.0,-240.0,-240.0,225.0,130.0,135.0,-140.0,135.0,220.0,235.0,245.0,135.0,605.0
3972,4,,,,,120.0,127.5,130.0,130.0,,,,130.0,130.0
4050,4,110.0,-117.5,-117.5,110.0,60.0,65.0,-70.0,65.0,125.0,130.0,135.0,65.0,310.0
4051,4,120.0,-130.0,130.0,130.0,60.0,65.0,-67.5,65.0,140.0,155.0,-165.0,65.0,350.0
4054,4,110.0,120.0,125.0,125.0,50.0,55.0,57.5,57.5,125.0,140.0,150.0,57.5,332.5
4055,4,-200.0,200.0,-220.0,200.0,115.0,-122.5,-122.5,115.0,190.0,197.5,-202.5,115.0,512.5
4057,4,215.0,235.0,-245.0,235.0,135.0,142.5,147.5,147.5,245.0,265.0,275.0,147.5,657.5
4063,4,,,,,200.0,205.0,-210.0,205.0,,,,205.0,205.0
4065,4,,,,,170.0,182.5,-190.0,182.5,,,,182.5,182.5
4502,4,,,,,190.0,-200.0,-200.0,190.0,,,,190.0,190.0
1,7,,,,,205.0,210.0,-212.5,210.0,,,,210.0,210.0
4502,7,,,,,185.0,-192.5,192.5,192.5,,,,192.5,192.5
1,8,,,,,185.0,-200.0,-200.0,185.0,,,,185.0,185.0
1,14,,,,,-190.0,197.5,202.5,202.5,,,,202.5,202.5
1,15,,,,,210.0,215.0,217.5,217.5,,,,217.5,217.5
2,2,140.0,145.0,152.5,152.5,87.5,95.0,-102.5,95.0,165.0,172.5,182.5,95.0,430.0
3,2,340.0,367.5,382.5,382.5,210.0,230.0,235.0,235.0,345.0,367.5,-382.5,235.0,985.0
3532,2,80.0,-105.0,110.0,110.0,40.0,45.0,50.0,50.0,90.0,105.0,115.0,50.0,275.0
3553,2,125.0,135.0,142.5,142.5,65.0,70.0,70.5,70.5,-135.0,135.0,143.0,70.5,356.0
3557,2,110.0,-117.5,-120.0,110.0,70.0,-75.0,75.0,75.0,115.0,122.5,-130.0,75.0,307.5
3561,2,90.0,97.5,102.5,102.5,55.0,57.5,-60.0,57.5,122.5,132.5,140.0,57.5,300.0
